feature,mean,std,min,max
mfcc_157,0.9660903,0.23131792,0.43424237,1.7963651
mfcc_158,0.9392305,0.21230659,0.43447584,1.6332371
mfcc_159,0.8882256,0.19830243,0.4799619,1.7477885
mfcc_160,0.0020472032,0.030932903,-0.17349507,0.25943998
mfcc_161,0.0033360603,0.019759836,-0.12905991,0.11064464
mfcc_162,0.0010162883,0.011471512,-0.051682975,0.086475976
mfcc_163,-9.699852e-05,0.0092217475,-0.04452082,0.046389636
mfcc_164,-0.00040001224,0.008979538,-0.04308401,0.051385712
mfcc_165,-0.00037927908,0.008687243,-0.061536558,0.051160652
mfcc_166,-0.0003584369,0.008681615,-0.039288905,0.04895856
mfcc_167,-0.0005345285,0.0076873777,-0.048474103,0.039382663
mfcc_168,-0.0006816282,0.0070431367,-0.037990868,0.039946284
mfcc_169,-0.0010438926,0.0066120885,-0.038211677,0.032581497
mfcc_170,-0.001235823,0.0065974626,-0.036788374,0.02943139
mfcc_171,-0.0013907487,0.0064799716,-0.038981657,0.031624455
mfcc_172,-0.0013240739,0.0064919884,-0.038580813,0.028390147
mfcc_173,-0.0012416939,0.006494345,-0.030054087,0.036629967
mfcc_174,-0.0012293559,0.0061453697,-0.033955894,0.026397811
mfcc_175,-0.0011206386,0.006052943,-0.028312178,0.026402596
mfcc_176,-0.0009971882,0.005742398,-0.035951152,0.038155373
mfcc_177,-0.0010364144,0.0054739257,-0.032337785,0.024636043
mfcc_178,-0.0009771257,0.00542182,-0.028103035,0.03506989
mfcc_179,-0.0011554002,0.005573941,-0.030110048,0.024907982
mfcc_180,-0.0008496745,0.005283931,-0.03203108,0.031335168
mfcc_181,-0.0006383836,0.0053993524,-0.026845532,0.034051776
mfcc_182,-0.00074343634,0.0051902444,-0.022915136,0.049015775
mfcc_183,-0.0008446226,0.0048777396,-0.027703265,0.027151564
mfcc_184,-0.0006129708,0.004505464,-0.026599785,0.022166407
mfcc_185,-0.0008050362,0.004687904,-0.024854958,0.028253958
mfcc_186,-0.00089553907,0.0046166764,-0.024469748,0.019346343
mfcc_187,-0.0009250457,0.0049777427,-0.026361922,0.031696748
mfcc_188,-0.0007084408,0.004666309,-0.02569032,0.021833334
mfcc_189,-0.0008558708,0.004403743,-0.044126008,0.026434585
mfcc_190,-0.0007897529,0.0045591895,-0.021348678,0.02259001
mfcc_191,-0.0007099941,0.0043490725,-0.021322044,0.027227445
mfcc_192,-0.00072996574,0.0039942223,-0.021593269,0.017741906
mfcc_193,-0.0006806864,0.0038154107,-0.023044862,0.016421787
mfcc_194,-0.0004254465,0.0037959688,-0.021022737,0.017939815
mfcc_195,-0.00059180724,0.0040477365,-0.025720637,0.021272486
mfcc_196,-0.00018688168,0.0038249167,-0.02270243,0.022762615
mfcc_197,-0.00014872328,0.0039440887,-0.020738216,0.026538828
mfcc_198,6.62921e-05,0.00391839,-0.018807188,0.02692988
mfcc_199,-0.00013829436,0.0036205298,-0.021021206,0.018609196
mfcc_200,5.655062,0.73756737,3.3131948,8.883049
mfcc_201,2.8509843,0.33894718,1.8125232,3.9492645
mfcc_202,1.9949499,0.2731426,1.2049286,2.9195633
mfcc_203,1.3638797,0.1674315,0.90839696,1.9357369
mfcc_204,1.3009088,0.17108323,0.8788127,1.9170592
mfcc_205,1.1308844,0.14099446,0.73256356,1.6901788
mfcc_206,1.183091,0.14820683,0.80702275,1.8123581
mfcc_207,1.0627981,0.15615228,0.6522957,1.6665809
mfcc_208,0.89768475,0.114147425,0.6085729,1.7212087
mfcc_209,0.8784503,0.10823965,0.59386295,1.386199
mfcc_210,0.8737885,0.13826324,0.5890501,1.7173594
mfcc_211,0.8704134,0.14918953,0.54634684,1.6932561
mfcc_212,0.8383743,0.17303856,0.4971565,1.7722284
mfcc_213,0.8166346,0.18281448,0.5211027,1.7964926
mfcc_214,0.8059585,0.1969057,0.49927458,1.8196822
mfcc_215,0.8072961,0.21411778,0.5056943,1.8508308
mfcc_216,0.80283815,0.21038426,0.4816901,1.6518136
mfcc_217,0.79622674,0.21767251,0.4475503,1.696824
mfcc_218,0.8039615,0.22793762,0.4467334,1.6329005
mfcc_219,0.8033515,0.23516715,0.43365943,1.566223
mfcc_220,0.81682086,0.23448041,0.46761918,1.5268185
mfcc_221,0.812892,0.23259403,0.4380016,1.4812735
mfcc_222,0.8171241,0.22918047,0.41850892,1.6746515
mfcc_223,0.80328506,0.22590646,0.39680105,1.5038184
mfcc_224,0.80328685,0.20859689,0.4307247,1.4931552
mfcc_225,0.79261947,0.20803182,0.38049525,1.4869531
mfcc_226,0.7969633,0.20660573,0.39644969,1.5533282
mfcc_227,0.79462886,0.20380907,0.3849007,1.3264765
mfcc_228,0.79168075,0.20259282,0.34474277,1.3230726
mfcc_229,0.7754357,0.19077677,0.37560302,1.3008991
mfcc_230,0.7471926,0.17133121,0.3720632,1.1635643
mfcc_231,0.7137126,0.15293925,0.37272304,1.2334523
mfcc_232,0.6855247,0.13846307,0.36821157,1.0850369
mfcc_233,0.67548007,0.14150496,0.34867996,1.2097957
mfcc_234,0.6831895,0.14343254,0.3469627,1.237131
mfcc_235,0.67174494,0.14312829,0.34694794,1.2036548
mfcc_236,0.6683806,0.14278974,0.34766307,1.1445543
mfcc_237,0.64821243,0.124719314,0.3602231,1.0301424
mfcc_238,0.6347495,0.11454714,0.33235204,1.0328104
mfcc_239,0.6089623,0.10460906,0.34972787,1.0568904
