path,emotion,intensity,actor,gender,statement,repetition,duration_s
..\data\raw\angry\03-01-05-01-02-02-14.wav,angry,normal,14,female,02,02,3.9039166666666665
..\data\raw\angry\03-01-05-01-02-02-15.wav,angry,normal,15,male,02,02,3.536875
..\data\raw\angry\03-01-05-01-02-02-16.wav,angry,normal,16,female,02,02,3.9038958333333333
..\data\raw\angry\03-01-05-01-02-02-17.wav,angry,normal,17,male,02,02,3.536875
..\data\raw\angry\03-01-05-01-02-02-18.wav,angry,normal,18,female,02,02,3.636979166666667
..\data\raw\angry\03-01-05-01-02-02-19.wav,angry,normal,19,male,02,02,3.5702291666666666
..\data\raw\angry\03-01-05-01-02-02-20.wav,angry,normal,20,female,02,02,3.8037916666666667
..\data\raw\angry\03-01-05-01-02-02-21.wav,angry,normal,21,male,02,02,3.9372708333333333
..\data\raw\angry\03-01-05-01-02-02-22.wav,angry,normal,22,female,02,02,4.037354166666667
..\data\raw\angry\03-01-05-01-02-02-23.wav,angry,normal,23,male,02,02,3.3366666666666664
..\data\raw\angry\03-01-05-01-02-02-24.wav,angry,normal,24,female,02,02,4.2041875
..\data\raw\angry\03-01-05-02-01-01-01.wav,angry,strong,1,male,01,01,4.104104166666667
..\data\raw\angry\03-01-05-02-01-01-02.wav,angry,strong,2,female,01,01,3.9039166666666665
..\data\raw\angry\03-01-05-02-01-01-03.wav,angry,strong,3,male,01,01,4.404395833333333
..\data\raw\angry\03-01-05-02-01-01-04.wav,angry,strong,4,female,01,01,3.7704375
..\data\raw\angry\03-01-05-02-01-01-05.wav,angry,strong,5,male,01,01,3.403395833333333
..\data\raw\angry\03-01-05-02-01-01-06.wav,angry,strong,6,female,01,01,4.104104166666667
..\data\raw\angry\03-01-05-02-01-01-07.wav,angry,strong,7,male,01,01,3.6036041666666665
..\data\raw\angry\03-01-05-02-01-01-08.wav,angry,strong,8,female,01,01,3.970625
..\data\raw\angry\03-01-05-02-01-01-09.wav,angry,strong,9,male,01,01,3.8038125
..\data\raw\angry\03-01-05-02-01-01-10.wav,angry,strong,10,female,01,01,4.170833333333333
..\data\raw\angry\03-01-05-02-01-01-11.wav,angry,strong,11,male,01,01,3.536875
..\data\raw\angry\03-01-05-02-01-01-12.wav,angry,strong,12,female,01,01,3.6369583333333333
..\data\raw\angry\03-01-05-02-01-01-13.wav,angry,strong,13,male,01,01,3.6703333333333332
..\data\raw\angry\03-01-05-02-01-01-14.wav,angry,strong,14,female,01,01,4.2709375
..\data\raw\angry\03-01-05-02-01-01-15.wav,angry,strong,15,male,01,01,3.536875
..\data\raw\angry\03-01-05-02-01-01-16.wav,angry,strong,16,female,01,01,3.970645833333333
..\data\raw\angry\03-01-05-02-01-01-17.wav,angry,strong,17,male,01,01,3.5035
..\data\raw\angry\03-01-05-02-01-01-18.wav,angry,strong,18,female,01,01,3.703708333333333
..\data\raw\angry\03-01-05-02-01-01-19.wav,angry,strong,19,male,01,01,3.970645833333333
..\data\raw\angry\03-01-05-02-01-01-20.wav,angry,strong,20,female,01,01,4.137479166666667
..\data\raw\angry\03-01-05-02-01-01-21.wav,angry,strong,21,male,01,01,4.371041666666667
..\data\raw\angry\03-01-05-02-01-01-22.wav,angry,strong,22,female,01,01,3.8705416666666665
..\data\raw\angry\03-01-05-02-01-01-23.wav,angry,strong,23,male,01,01,3.403395833333333
..\data\raw\angry\03-01-05-02-01-01-24.wav,angry,strong,24,female,01,01,4.371041666666667
..\data\raw\angry\03-01-05-02-01-02-01.wav,angry,strong,1,male,01,02,4.371041666666667
..\data\raw\angry\03-01-05-02-01-02-02.wav,angry,strong,2,female,01,02,4.004
..\data\raw\angry\03-01-05-02-01-02-03.wav,angry,strong,3,male,01,02,4.404416666666667
..\data\raw\angry\03-01-05-02-01-02-04.wav,angry,strong,4,female,01,02,3.8705208333333334
..\data\raw\angry\03-01-05-02-01-02-05.wav,angry,strong,5,male,01,02,3.5702291666666666
..\data\raw\angry\03-01-05-02-01-02-06.wav,angry,strong,6,female,01,02,4.2041875
..\data\raw\angry\03-01-05-02-01-02-07.wav,angry,strong,7,male,01,02,4.004
..\data\raw\angry\03-01-05-02-01-02-08.wav,angry,strong,8,female,01,02,3.7704375
..\data\raw\angry\03-01-05-02-01-02-09.wav,angry,strong,9,male,01,02,3.7704375
..\data\raw\angry\03-01-05-02-01-02-10.wav,angry,strong,10,female,01,02,4.471125
..\data\raw\angry\03-01-05-02-01-02-11.wav,angry,strong,11,male,01,02,3.970625
..\data\raw\angry\03-01-05-02-01-02-12.wav,angry,strong,12,female,01,02,3.6703333333333332
..\data\raw\angry\03-01-05-02-01-02-13.wav,angry,strong,13,male,01,02,4.2709375
..\data\raw\angry\03-01-05-02-01-02-14.wav,angry,strong,14,female,01,02,4.371020833333334
..\data\raw\angry\03-01-05-02-01-02-15.wav,angry,strong,15,male,01,02,3.7370833333333335
..\data\raw\angry\03-01-05-02-01-02-16.wav,angry,strong,16,female,01,02,3.7370625
..\data\raw\angry\03-01-05-02-01-02-17.wav,angry,strong,17,male,01,02,3.7370625
..\data\raw\angry\03-01-05-02-01-02-18.wav,angry,strong,18,female,01,02,3.7704375
..\data\raw\angry\03-01-05-02-01-02-19.wav,angry,strong,19,male,01,02,4.804791666666667
..\data\raw\angry\03-01-05-02-01-02-20.wav,angry,strong,20,female,01,02,4.070729166666666
..\data\raw\angry\03-01-05-02-01-02-21.wav,angry,strong,21,male,01,02,4.471125
..\data\raw\angry\03-01-05-02-01-02-22.wav,angry,strong,22,female,01,02,3.9038958333333333
..\data\raw\angry\03-01-05-02-01-02-23.wav,angry,strong,23,male,01,02,3.3366666666666664
..\data\raw\angry\03-01-05-02-01-02-24.wav,angry,strong,24,female,01,02,4.371041666666667
..\data\raw\angry\03-01-05-02-02-01-01.wav,angry,strong,1,male,02,01,4.137458333333333
..\data\raw\angry\03-01-05-02-02-01-02.wav,angry,strong,2,female,02,01,4.004
..\data\raw\angry\03-01-05-02-02-01-03.wav,angry,strong,3,male,02,01,4.2375625
..\data\raw\angry\03-01-05-02-02-01-04.wav,angry,strong,4,female,02,01,3.7036875
..\data\raw\angry\03-01-05-02-02-01-05.wav,angry,strong,5,male,02,01,3.6369583333333333
..\data\raw\angry\03-01-05-02-02-01-06.wav,angry,strong,6,female,02,01,4.437770833333333
..\data\raw\angry\03-01-05-02-02-01-07.wav,angry,strong,7,male,02,01,3.8371666666666666
..\data\raw\angry\03-01-05-02-02-01-08.wav,angry,strong,8,female,02,01,3.6036041666666665
..\data\raw\angry\03-01-05-02-02-01-09.wav,angry,strong,9,male,02,01,4.371041666666667
..\data\raw\angry\03-01-05-02-02-01-10.wav,angry,strong,10,female,02,01,3.8705208333333334
..\data\raw\angry\03-01-05-02-02-01-11.wav,angry,strong,11,male,02,01,3.9372708333333333
..\data\raw\angry\03-01-05-02-02-01-12.wav,angry,strong,12,female,02,01,3.8038125
..\data\raw\angry\03-01-05-02-02-01-13.wav,angry,strong,13,male,02,01,3.5702291666666666
..\data\raw\angry\03-01-05-02-02-01-14.wav,angry,strong,14,female,02,01,4.170833333333333
..\data\raw\angry\03-01-05-02-02-01-15.wav,angry,strong,15,male,02,01,3.4701458333333335
..\data\raw\angry\03-01-05-02-02-01-16.wav,angry,strong,16,female,02,01,3.8037916666666667
..\data\raw\angry\03-01-05-02-02-01-17.wav,angry,strong,17,male,02,01,3.636979166666667
..\data\raw\angry\03-01-05-02-02-01-18.wav,angry,strong,18,female,02,01,3.8371666666666666
..\data\raw\angry\03-01-05-02-02-01-19.wav,angry,strong,19,male,02,01,4.337666666666666
..\data\raw\angry\03-01-05-02-02-01-20.wav,angry,strong,20,female,02,01,4.404416666666667
..\data\raw\angry\03-01-05-02-02-01-21.wav,angry,strong,21,male,02,01,4.1040833333333335
..\data\raw\angry\03-01-05-02-02-01-22.wav,angry,strong,22,female,02,01,4.237583333333333
..\data\raw\angry\03-01-05-02-02-01-23.wav,angry,strong,23,male,02,01,3.2365625
..\data\raw\angry\03-01-05-02-02-01-24.wav,angry,strong,24,female,02,01,4.170833333333333
..\data\raw\angry\03-01-05-02-02-02-01.wav,angry,strong,1,male,02,02,4.437770833333333
..\data\raw\angry\03-01-05-02-02-02-02.wav,angry,strong,2,female,02,02,4.004
..\data\raw\angry\03-01-05-02-02-02-03.wav,angry,strong,3,male,02,02,4.5045
..\data\raw\angry\03-01-05-02-02-02-04.wav,angry,strong,4,female,02,02,3.8371666666666666
..\data\raw\angry\03-01-05-02-02-02-05.wav,angry,strong,5,male,02,02,3.636979166666667
..\data\raw\angry\03-01-05-02-02-02-06.wav,angry,strong,6,female,02,02,4.471125
..\data\raw\angry\03-01-05-02-02-02-07.wav,angry,strong,7,male,02,02,4.337666666666666
..\data\raw\angry\03-01-05-02-02-02-08.wav,angry,strong,8,female,02,02,3.6369583333333333
..\data\raw\angry\03-01-05-02-02-02-09.wav,angry,strong,9,male,02,02,3.970645833333333
..\data\raw\angry\03-01-05-02-02-02-10.wav,angry,strong,10,female,02,02,4.137458333333333
..\data\raw\angry\03-01-05-02-02-02-11.wav,angry,strong,11,male,02,02,3.7704375
..\data\raw\angry\03-01-05-02-02-02-12.wav,angry,strong,12,female,02,02,3.8371666666666666
..\data\raw\angry\03-01-05-02-02-02-13.wav,angry,strong,13,male,02,02,4.170833333333333
..\data\raw\angry\03-01-05-02-02-02-14.wav,angry,strong,14,female,02,02,4.404416666666667
..\data\raw\angry\03-01-05-02-02-02-15.wav,angry,strong,15,male,02,02,3.6036041666666665
..\data\raw\angry\03-01-05-02-02-02-16.wav,angry,strong,16,female,02,02,4.07075
..\data\raw\angry\03-01-05-02-02-02-17.wav,angry,strong,17,male,02,02,3.8038125
..\data\raw\angry\03-01-05-02-02-02-18.wav,angry,strong,18,female,02,02,4.2375625
..\data\raw\angry\03-01-05-02-02-02-19.wav,angry,strong,19,male,02,02,4.104104166666667
..\data\raw\angry\03-01-05-02-02-02-20.wav,angry,strong,20,female,02,02,3.5368541666666666
..\data\raw\angry\03-01-05-02-02-02-21.wav,angry,strong,21,male,02,02,4.2375625
..\data\raw\angry\03-01-05-02-02-02-22.wav,angry,strong,22,female,02,02,4.204208333333334
..\data\raw\angry\03-01-05-02-02-02-23.wav,angry,strong,23,male,02,02,3.3032916666666665
..\data\raw\angry\03-01-05-02-02-02-24.wav,angry,strong,24,female,02,02,5.105104166666667
..\data\raw\calm\03-01-02-01-01-01-01.wav,calm,normal,1,male,01,01,3.5368541666666666
..\data\raw\calm\03-01-02-01-01-01-02.wav,calm,normal,2,female,01,01,3.8371666666666666
..\data\raw\calm\03-01-02-01-01-01-03.wav,calm,normal,3,male,01,01,3.8371666666666666
..\data\raw\calm\03-01-02-01-01-01-04.wav,calm,normal,4,female,01,01,3.8037916666666667
..\data\raw\calm\03-01-02-01-01-01-05.wav,calm,normal,5,male,01,01,4.037354166666667
..\data\raw\calm\03-01-02-01-01-01-06.wav,calm,normal,6,female,01,01,4.037354166666667
..\data\raw\calm\03-01-02-01-01-01-07.wav,calm,normal,7,male,01,01,3.470125
..\data\raw\calm\03-01-02-01-01-01-08.wav,calm,normal,8,female,01,01,3.6036041666666665
..\data\raw\calm\03-01-02-01-01-01-09.wav,calm,normal,9,male,01,01,3.3366666666666664
..\data\raw\calm\03-01-02-01-01-01-10.wav,calm,normal,10,female,01,01,3.5702291666666666
..\data\raw\calm\03-01-02-01-01-01-11.wav,calm,normal,11,male,01,01,3.2699166666666666
..\data\raw\calm\03-01-02-01-01-01-12.wav,calm,normal,12,female,01,01,3.8705208333333334
..\data\raw\calm\03-01-02-01-01-01-13.wav,calm,normal,13,male,01,01,3.3032916666666665
..\data\raw\calm\03-01-02-01-01-01-14.wav,calm,normal,14,female,01,01,3.7370625
..\data\raw\calm\03-01-02-01-01-01-15.wav,calm,normal,15,male,01,01,3.57025
..\data\raw\calm\03-01-02-01-01-01-16.wav,calm,normal,16,female,01,01,3.7036875
..\data\raw\calm\03-01-02-01-01-01-17.wav,calm,normal,17,male,01,01,3.5035
..\data\raw\calm\03-01-02-01-01-01-18.wav,calm,normal,18,female,01,01,3.470125
..\data\raw\calm\03-01-02-01-01-01-19.wav,calm,normal,19,male,01,01,3.6703333333333332
..\data\raw\calm\03-01-02-01-01-01-20.wav,calm,normal,20,female,01,01,3.6369583333333333
..\data\raw\calm\03-01-02-01-01-01-21.wav,calm,normal,21,male,01,01,4.037375
..\data\raw\calm\03-01-02-01-01-01-22.wav,calm,normal,22,female,01,01,3.5368541666666666
..\data\raw\calm\03-01-02-01-01-01-23.wav,calm,normal,23,male,01,01,3.970625
..\data\raw\calm\03-01-02-01-01-01-24.wav,calm,normal,24,female,01,01,3.5702291666666666
..\data\raw\calm\03-01-02-01-01-02-01.wav,calm,normal,1,male,01,02,3.6035833333333334
..\data\raw\calm\03-01-02-01-01-02-02.wav,calm,normal,2,female,01,02,4.004
..\data\raw\calm\03-01-02-01-01-02-03.wav,calm,normal,3,male,01,02,3.7370625
..\data\raw\calm\03-01-02-01-01-02-04.wav,calm,normal,4,female,01,02,3.7370625
..\data\raw\calm\03-01-02-01-01-02-05.wav,calm,normal,5,male,01,02,4.104104166666667
..\data\raw\calm\03-01-02-01-01-02-06.wav,calm,normal,6,female,01,02,4.104104166666667
..\data\raw\calm\03-01-02-01-01-02-07.wav,calm,normal,7,male,01,02,3.7370625
..\data\raw\calm\03-01-02-01-01-02-08.wav,calm,normal,8,female,01,02,3.4034166666666668
..\data\raw\calm\03-01-02-01-01-02-09.wav,calm,normal,9,male,01,02,3.3366666666666664
..\data\raw\calm\03-01-02-01-01-02-10.wav,calm,normal,10,female,01,02,3.6035833333333334
..\data\raw\calm\03-01-02-01-01-02-11.wav,calm,normal,11,male,01,02,3.3366666666666664
..\data\raw\calm\03-01-02-01-01-02-12.wav,calm,normal,12,female,01,02,3.7704166666666667
..\data\raw\calm\03-01-02-01-01-02-13.wav,calm,normal,13,male,01,02,3.1698333333333335
..\data\raw\calm\03-01-02-01-01-02-14.wav,calm,normal,14,female,01,02,3.5702291666666666
..\data\raw\calm\03-01-02-01-01-02-15.wav,calm,normal,15,male,01,02,3.5702291666666666
..\data\raw\calm\03-01-02-01-01-02-16.wav,calm,normal,16,female,01,02,3.8705208333333334
..\data\raw\calm\03-01-02-01-01-02-17.wav,calm,normal,17,male,01,02,3.536875
..\data\raw\calm\03-01-02-01-01-02-18.wav,calm,normal,18,female,01,02,3.4034166666666668
..\data\raw\calm\03-01-02-01-01-02-19.wav,calm,normal,19,male,01,02,3.6703333333333332
..\data\raw\calm\03-01-02-01-01-02-20.wav,calm,normal,20,female,01,02,3.5702291666666666
..\data\raw\calm\03-01-02-01-01-02-21.wav,calm,normal,21,male,01,02,4.004
..\data\raw\calm\03-01-02-01-01-02-22.wav,calm,normal,22,female,01,02,3.5702291666666666
..\data\raw\calm\03-01-02-01-01-02-23.wav,calm,normal,23,male,01,02,4.070729166666666
..\data\raw\calm\03-01-02-01-01-02-24.wav,calm,normal,24,female,01,02,3.5035
..\data\raw\calm\03-01-02-01-02-01-01.wav,calm,normal,1,male,02,01,3.5035
..\data\raw\calm\03-01-02-01-02-01-02.wav,calm,normal,2,female,02,01,3.8371666666666666
..\data\raw\calm\03-01-02-01-02-01-03.wav,calm,normal,3,male,02,01,3.8371666666666666
..\data\raw\calm\03-01-02-01-02-01-04.wav,calm,normal,4,female,02,01,3.636979166666667
..\data\raw\calm\03-01-02-01-02-01-05.wav,calm,normal,5,male,02,01,4.137479166666667
..\data\raw\calm\03-01-02-01-02-01-06.wav,calm,normal,6,female,02,01,3.970625
..\data\raw\calm\03-01-02-01-02-01-07.wav,calm,normal,7,male,02,01,3.5035
..\data\raw\calm\03-01-02-01-02-01-08.wav,calm,normal,8,female,02,01,3.470125
..\data\raw\calm\03-01-02-01-02-01-09.wav,calm,normal,9,male,02,01,3.4701458333333335
..\data\raw\calm\03-01-02-01-02-01-10.wav,calm,normal,10,female,02,01,3.6369583333333333
..\data\raw\calm\03-01-02-01-02-01-11.wav,calm,normal,11,male,02,01,3.3366666666666664
..\data\raw\calm\03-01-02-01-02-01-12.wav,calm,normal,12,female,02,01,3.7704375
..\data\raw\calm\03-01-02-01-02-01-13.wav,calm,normal,13,male,02,01,3.136458333333333
..\data\raw\calm\03-01-02-01-02-01-14.wav,calm,normal,14,female,02,01,3.4034166666666668
..\data\raw\calm\03-01-02-01-02-01-15.wav,calm,normal,15,male,02,01,3.7370625
..\data\raw\calm\03-01-02-01-02-01-16.wav,calm,normal,16,female,02,01,3.8037916666666667
..\data\raw\calm\03-01-02-01-02-01-17.wav,calm,normal,17,male,02,01,3.7370833333333335
..\data\raw\calm\03-01-02-01-02-01-18.wav,calm,normal,18,female,02,01,3.636979166666667
..\data\raw\calm\03-01-02-01-02-01-19.wav,calm,normal,19,male,02,01,3.3366666666666664
..\data\raw\calm\03-01-02-01-02-01-20.wav,calm,normal,20,female,02,01,3.3366666666666664
..\data\raw\calm\03-01-02-01-02-01-21.wav,calm,normal,21,male,02,01,3.8038125
..\data\raw\calm\03-01-02-01-02-01-22.wav,calm,normal,22,female,02,01,3.5702291666666666
..\data\raw\calm\03-01-02-01-02-01-23.wav,calm,normal,23,male,02,01,4.170833333333333
..\data\raw\calm\03-01-02-01-02-01-24.wav,calm,normal,24,female,02,01,3.8705416666666665
..\data\raw\calm\03-01-02-01-02-02-01.wav,calm,normal,1,male,02,02,3.4701458333333335
..\data\raw\calm\03-01-02-01-02-02-02.wav,calm,normal,2,female,02,02,3.970625
..\data\raw\calm\03-01-02-01-02-02-03.wav,calm,normal,3,male,02,02,3.970625
..\data\raw\calm\03-01-02-01-02-02-04.wav,calm,normal,4,female,02,02,3.57025
..\data\raw\calm\03-01-02-01-02-02-05.wav,calm,normal,5,male,02,02,4.2375625
..\data\raw\calm\03-01-02-01-02-02-06.wav,calm,normal,6,female,02,02,4.2041875
..\data\raw\calm\03-01-02-01-02-02-07.wav,calm,normal,7,male,02,02,3.536875
..\data\raw\calm\03-01-02-01-02-02-08.wav,calm,normal,8,female,02,02,3.470125
..\data\raw\calm\03-01-02-01-02-02-09.wav,calm,normal,9,male,02,02,3.5702291666666666
..\data\raw\calm\03-01-02-01-02-02-10.wav,calm,normal,10,female,02,02,3.703708333333333
..\data\raw\calm\03-01-02-01-02-02-11.wav,calm,normal,11,male,02,02,3.6703333333333332
..\data\raw\calm\03-01-02-01-02-02-12.wav,calm,normal,12,female,02,02,3.6703333333333332
..\data\raw\calm\03-01-02-01-02-02-13.wav,calm,normal,13,male,02,02,2.9362708333333334
..\data\raw\calm\03-01-02-01-02-02-14.wav,calm,normal,14,female,02,02,3.5035
..\data\raw\calm\03-01-02-01-02-02-15.wav,calm,normal,15,male,02,02,3.5702291666666666
..\data\raw\calm\03-01-02-01-02-02-16.wav,calm,normal,16,female,02,02,3.6703333333333332
..\data\raw\calm\03-01-02-01-02-02-17.wav,calm,normal,17,male,02,02,3.7704375
..\data\raw\calm\03-01-02-01-02-02-18.wav,calm,normal,18,female,02,02,3.5035
..\data\raw\calm\03-01-02-01-02-02-19.wav,calm,normal,19,male,02,02,3.470125
..\data\raw\calm\03-01-02-01-02-02-20.wav,calm,normal,20,female,02,02,3.5035
..\data\raw\calm\03-01-02-01-02-02-21.wav,calm,normal,21,male,02,02,4.070729166666666
..\data\raw\calm\03-01-02-01-02-02-22.wav,calm,normal,22,female,02,02,3.536875
..\data\raw\calm\03-01-02-01-02-02-23.wav,calm,normal,23,male,02,02,4.004
